Transcript Chunk,Comment
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,excellent win for a young man congratulations gukesh and in inspiration
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,congratulations to gukesh the youngest world champion in history
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,congratulations gukesh
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,congratulations gukesh a marvelous achievement
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,congrats gukesh :india:
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,made us proud big brains congratulations
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,congratulations you made us proud bharat is reclaiming its heritage
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,so proud of gukesh the champion guki :trophy::partypopper:
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
he is an Indian teenager a Chennai born Prodigy and now a chess Legend Im obviously talking about gkes doar Raju he has stunned the world and Rewritten history at the age of 18 gkes has become the youngest World chess champion he is the second world champion from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,excellent win for a young man congratulations gukesh and in inspiration
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,congratulations to gukesh the youngest world champion in history
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,congratulations gukesh
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,congratulations gukesh a marvelous achievement
